name,food_tags,mood_tags,address,neighborhood,latitude,longitude,rating,reviews_count,price_level,phone,website,hours,permanently_closed,temporarily_closed,maps url,status
BRUS,Beer,Bar,"Guldbergsgade 29, 2200 København",Nørrebro,55.6921531,12.5561452,4.5,"3,956",,75 22 22 00,http://tapperietbrus.dk/,,No,No,https://www.google.com/maps/place/BRUS/data=!4m2!3m1!1s0x464b8b471e46ee37:0x1344df1d782c450,success
BRYGGENS SPISEHUS,Danish,Restaurant; Al Fresco,"Islands Brygge 18, 2300 København",Amager,55.666959,12.576411,4.1,724,,32 54 00 82,http://bryggens.dk/,Open · Closes 10.00 pm,No,No,https://www.google.com/maps/place/BRYGGENS+SPISEHUS/data=!4m2!3m1!1s0x4652536ba59fbbfb:0xe635cb8faa3744b3,success
Buka,Pastry,Bakery,"Store Kongensgade 18, 1264 København",Indre By,55.6819717,12.5858709,4.4,"2,189",,53 78 85 86,http://buka-bakery.com/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Buka/data=!4m2!3m1!1s0x465253af4ebdffa7:0xf8ebf993e5128c15,success
Bæst,Pizza,Restaurant,"Guldbergsgade 29, 2200 København",Nørrebro,55.6923117,12.5560779,4.2,"2,978",,31 63 62 90,http://baest.dk/,Closed · Opens 5.00 pm,No,No,https://www.google.com/maps/place/B%C3%A6st/data=!4m2!3m1!1s0x4652539fdf087b7d:0x2d53b8ea6d057d5e,success
Cadence,Brunch,Restaurant; Cafe,"Ny Carlsberg Vej 40, 1760 København",Vesterbro,55.6666049,12.5390556,4.2,583,,93 10 33 68,http://www.cadencecph.dk/,Permanently closed,Yes,No,https://www.google.com/maps/place/Cadence/data=!4m2!3m1!1s0x465253af6a43f145:0x363d733582017eae,success
Cafe Ermanno,Coffee,Restaurant,"Store Strandstræde 11, 1255 København",Indre By,55.6811586,12.588614,4.4,653,,,,Open · Closes 8.30 pm,No,No,https://www.google.com/maps/place/Cafe+Ermanno/data=!4m2!3m1!1s0x46525322a71c2609:0x245142172929cec4,success
Cafe Kodan,Coffee,Cafe,"Falkoner Alle 24a, 2000 Frederiksberg",Frederiksberg,55.6805996,12.5341843,4.5,241,,50 51 26 69,https://www.instagram.com/cafekodan,,No,No,https://www.google.com/maps/place/Cafe+Kodan/data=!4m2!3m1!1s0x465253746aaae4d5:0xb54b99c5084ca870,success
Cafe Væksthuset,Coffee,Cafe; Al Fresco,"Grønnegårdsvej 15, 1870 Frederiksberg",Frederiksberg,55.6809428,12.5404364,4.0,228,,,https://www.facebook.com/havajavavaeksthuset/,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Cafe+V%C3%A6ksthuset/data=!4m2!3m1!1s0x465253a3630db683:0x2848309b4b43db3f,success
Cakenhagen Vesterbrogade,Fastelavnsbolle,Cafe,"Vesterbrogade 1, 1620 København",Vesterbro,55.6751205,12.5666843,4.6,105,,88 70 00 00,https://www.tivoli.dk/mad-og-drikke/is-og-soedt/cakenhagen?utm_source=google&utm_medium=organic&utm_campaign=gbp-cakenhagen-vesterbrogade,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Cakenhagen+Vesterbrogade/data=!4m2!3m1!1s0x4652536a1363f95b:0x6e5ec14d6e846534,success
Cantina,Italian,Restaurant,"Borgergade 2, 1300 København",Indre By,55.6823503,12.5842569,4.1,"2,168",,88 16 99 95,http://www.cantinacph.dk/,Open · Closes 12.00 am,No,No,https://www.google.com/maps/place/Cantina/data=!4m2!3m1!1s0x46525319b69b8335:0x83000c75518a7477,success
Cascabel,Coffee; Pastry,Bakery,"Store Kongensgade 78, 1264 København",Indre By,55.6849377,12.5884071,3.3,133,,,,Open 24 hours,No,No,https://www.google.com/maps/place/Cascabel/data=!4m2!3m1!1s0x4652533145546323:0x48ab4a6a974f294a,success
Cava Café - Brunch,Brunch; Coffee,Cafe,"Kongedybet 28, 2300 København",Amager,55.6634836,12.597497,4.6,256,,50 21 45 02,http://cavacafe.dk/,Open · Closes 4.00 pm,No,No,https://www.google.com/maps/place/Cava+Caf%C3%A9+-+Brunch/data=!4m2!3m1!1s0x465253d40a08ff89:0x8e55c37ce9bc44fb,success
cleo,New Nordic,Restaurant,"Rantzausgade 58B, 2200 København",Nørrebro,55.6878264,12.5464077,4.4,211,,38 42 42 49,https://restaurantcleo.dk/,Closed · Opens 5.00 pm,No,No,https://www.google.com/maps/place/cleo/data=!4m2!3m1!1s0x4652537f0dbd37ef:0xdddb9dd6c67367bd,success
Coffee Collective,Coffee,Cafe,"Godthåbsvej 34B, 2000 Frederiksberg",Frederiksberg,55.6870661,12.5334523,4.6,814,,60 15 15 25,https://coffeecollective.dk/,Open · Closes 7.00 pm,No,No,https://www.google.com/maps/place/Coffee+Collective+Godth%C3%A5bsvej/data=!4m2!3m1!1s0x465253ad94236fed:0x2958fa62b6290d9a,success
Collective Bakery,Fastelavnsbolle,Bakery,"Nørrebrogade 176, 2200 København",Nørrebro,55.6967659,12.5455458,4.3,158,,31 36 75 33,https://coffeecollective.dk/pages/coffee-shop/collective-bakery,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Collective+Bakery/data=!4m2!3m1!1s0x4652537daeda7453:0x4b4a8ef15339e121,success
Conditori La Glace,Pastry,Restaurant,"Skoubogade 3, 1158 København",Indre By,55.6785921,12.5735765,4.4,"2,949",,33 14 46 46,https://laglace.dk/da/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Conditori+La+Glace/data=!4m2!3m1!1s0x46525311adf13159:0x71dd10b224c56a51,success
Copenhagen Contemporary,For Thought,Museum,"Refshalevej 173A, 1432 København",Refshaleøen,55.6935405,12.613569,4.4,"2,154",,,http://copenhagencontemporary.org/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Copenhagen+Contemporary/data=!4m2!3m1!1s0x4652533b4ae238fd:0x55309cfc552be410,success
DAC Café,New Nordic,Restaurant; Al Fresco,"Bryghuspladsen 10, 1473 København",Indre By,55.6720619,12.5791566,3.9,119,,29 65 53 96,https://dac.dk/en/cafe/,Open · Closes 9.00 pm,No,No,https://www.google.com/maps/place/DAC+Caf%C3%A9/data=!4m2!3m1!1s0x46525388e532c0cd:0x9e580fe4605d3603,success
Dahl & Dahl,Wine,Bar,"Dronningens Tværgade 6, 1302 København",Indre By,55.6834313,12.5881155,4.0,285,,82 30 40 44,https://www.dahl-dahl.dk/?utm_source=GMB&utm_medium=organisk,Closed · Opens 5.00 pm Thu,No,No,https://www.google.com/maps/place/Dahl+%26+Dahl/data=!4m2!3m1!1s0x465253188ed6c64d:0xfe34673303f2ed12,success
Damhuskanten,Ice Cream,Al Fresco,"Damhusdæmningen 2B, 2720 København",Vanløse,55.681431,12.473337,4.1,797,,20 44 29 92,http://damhuskanten.dk/,Open · Closes 9.00 pm,No,No,https://www.google.com/maps/place/Damhuskanten/data=!4m2!3m1!1s0x465251678c4dd39d:0x1e2d14487fa3fd4b,success
Daniali & Schiøtz,Pastry,Cafe,"Falkoner Alle 36, 2000 Frederiksberg",Frederiksberg,55.6819882,12.5350209,4.5,274,,50 58 98 29,https://instagram.com/danialischioetz?igshid=MzRlODBiNWFlZA==,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Daniali+%26+Schi%C3%B8tz+Bageri/data=!4m2!3m1!1s0x465253bb0c39fbc9:0xd8893949ef4fd779,success
Darcy’s Kaffe,Coffee,Cafe,"Rantzausgade 2, 2200 København",Nørrebro,55.6853205,12.5532862,4.6,705,,,http://www.darcyskaffe.dk/,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Darcy%E2%80%99s+Kaffe/data=!4m2!3m1!1s0x465253a14fb73023:0xd41a80b6eb1d16c7,success
Det Franske Konditori,Fastelavnsbolle,Bakery,"H. C. Ørsteds Vej 44, 1879 Frederiksberg",Frederiksberg,55.6810722,12.5492381,4.5,101,,35 35 15 46,http://detfranskeconditori.dk/,Open · Closes 5.30 pm,No,No,https://www.google.com/maps/place/Det+Franske+Konditori/data=!4m2!3m1!1s0x465253a6f108ad7d:0xa951017679515b2f,success
Det Vide Hus,Coffee,Cafe,"Gothersgade 113, 1123 København",Indre By,55.6841942,12.574646,4.6,550,,,https://www.facebook.com/detvidehus/,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Det+Vide+Hus/data=!4m2!3m1!1s0x4652531adea3191b:0x2f43ebc7bc1a76e7,success
Dilemma Vinbar,Wine,Bar,"Falkoner Alle 79, tv, 2000 Frederiksberg",Frederiksberg,55.6871768,12.5404169,4.9,35,,31 36 83 39,,Closed · Opens 4.00 pm Tue,No,No,https://www.google.com/maps/place/Dilemma+Vinbar/data=!4m2!3m1!1s0x4652537a51328677:0x8bf70cff6aaf339f,success
District Tonkin,Asian,Restaurant,"Store Kongensgade 71, 1264 København",Indre By,55.6850226,12.5881749,4.3,"1,248",,60 88 86 98,https://district-tonkin.com/,Open · Closes 9.30 pm,No,No,https://www.google.com/maps/place/District+Tonkin/data=!4m2!3m1!1s0x465253188cc24577:0xb19ab2ee771817,success
Dronning Louises Tehus,Tea; Afternoon Tea,Al Fresco,"det stråtækte hus for enden af stien, Ved Slotshaven 12, 2820 Gentofte",Gentofte,55.7557852,12.5485518,4.4,278,,31 32 39 60,https://www.dronninglouisestehus.dk/,Closed · Opens 1.00 pm Wed,No,No,https://www.google.com/maps/place/Dronning+Louises+Tehus/data=!4m2!3m1!1s0x46524dec40000001:0x904f36ab1bc67831,success
Empire Cinema,For Thought,Cinema,"Guldbergsgade 29F, 2200 København",Nørrebro,55.6918605,12.5558206,4.4,"2,114",,35 36 00 36,http://www.empirebio.dk/,,No,No,https://www.google.com/maps/place/Empire+Cinema/data=!4m2!3m1!1s0x465253aafc260e13:0x551d83ab11eff35b,success
Enghave Plads 9,Wine; Beer,Bar,"Enghave Pl. 9, 1670 København",Vesterbro,55.66687,12.5466159,4.1,68,,,http://www.instagram.com/enghaveplads9,Open · Closes 12.00 am,No,No,https://www.google.com/maps/place/Enghave+Plads+9/data=!4m2!3m1!1s0x465253ed5f40027d:0xab8bd7d724876095,success
Enomania,Wine; Italian,Restaurant,"Vesterbrogade 187, 1800 Frederiksberg",Frederiksberg,55.6706794,12.5317449,4.8,466,,33 23 60 80,http://www.enomania.dk/,Closed · Opens 5.30 pm Tue,No,No,https://www.google.com/maps/place/Enomania/data=!4m2!3m1!1s0x46525397686e0f63:0x4d15f0a1a5bde6b0,success
Falernum,Wine,Bar; Cafe; Restaurant,"Værnedamsvej 16, 1619 København",Vesterbro,55.6740966,12.5500677,4.2,401,,28 30 69 60,https://www.falernum.dk/?utm_source=GBP&utm_medium=organic,Open · Closes 12.00 am,No,No,https://www.google.com/maps/place/Falernum/data=!4m2!3m1!1s0x465253a0138385ad:0xf7e46f1d3e3fd35a,success
Fanico,Portuguese,Restaurant,"Stubkaj 7F, 2150 København",Nordhavn,55.7096981,12.5944826,4.9,106,,21 80 00 18,https://www.instagram.com/fanicocph,Closed · Opens 11.00 am Wed,No,No,https://www.google.com/maps/place/Fanico/data=!4m2!3m1!1s0x46525370e404f063:0xe09aa36807cc9dac,success
Fleisch,Steak,Restaurant,"Slagterboderne 7, 1716 København",Vesterbro,55.6689887,12.5588229,4.4,"1,103",,61 68 14 19,https://fleisch.dk/?utm_source=google&utm_medium=organic&utm_campaign=gbp_fleisch,,No,No,https://www.google.com/maps/place/Fleisch/data=!4m2!3m1!1s0x465253739d0f18bf:0x41ae9faa65d7a9e3,success
Flere Fugle,Fastelavnsbolle; Pastry,Cafe,"Rentemestervej 57, 2400 København",Nordvest,55.7073855,12.524697,4.3,782,,93 63 42 01,http://www.flerefugle.dk/,,No,No,https://www.google.com/maps/place/Flere+Fugle/data=!4m2!3m1!1s0x465253d689f1f72f:0xed86676cfdfeb8ff,success
Frenchy,French; Brunch,Cafe,"Store Kongensgade 69B, 1264 København",Indre By,55.6849593,12.5881282,4.3,498,,31 45 64 46,http://www.frenchy.dk/,Temporarily closed,No,Yes,https://www.google.com/maps/place/Frenchy/data=!4m2!3m1!1s0x4652533dc224304b:0x6ee762670ccda854,success
Fru Jensens Fristelser (Lady Jensen's Temptations),Coffee; Brunch,Cafe; Al Fresco,"Godthåbsvej 173, 2720 København",Vanløse,55.6906737,12.5159492,4.3,192,,61 46 55 00,https://weblom.me/fru-jensens-fristelser-466166-da,,No,No,https://www.google.com/maps/place/Fru+Jensens+Fristelser+(Lady+Jensen's+Temptations)/data=!4m2!3m1!1s0x465253ced8efea81:0x9848af25588b68c3,success
Fuego,Steak,Restaurant,"Holbergsgade 14, 1057 København",Indre By,55.6781016,12.5890488,4.5,"1,039",,33 13 11 71,http://www.fuego.dk/,Closed · Opens 5.30 pm,No,No,https://www.google.com/maps/place/Fuego/data=!4m2!3m1!1s0x4652533d12c96351:0xbc49a3e00036e1a9,success
Gamma Bar,Beer,Bar,"Hejrevej 6B, 2400 København",Nordvest,55.7011115,12.5340975,4.6,144,,88 73 08 87,,,No,No,https://www.google.com/maps/place/Gamma+Bar+NV/data=!4m2!3m1!1s0x465253170c834455:0x6fc5cf281605b677,success
Gasoline Grill,Burgers,Al Fresco,"Landgreven 10, 1301 København",Indre By,55.683242,12.5851505,4.5,"6,752",,31 33 78 92,https://www.gasolinegrill.com/,Open · Closes 8.30 pm,No,No,https://www.google.com/maps/place/Gasoline+Grill/data=!4m2!3m1!1s0x46525319a9ee66e1:0xb6850b6a3fa2148a,success
Gemini,New Nordic,Restaurant,"Gl. Kongevej 10 fra søsiden, 1610 København",Vesterbro,55.6744087,12.5576238,4.2,820,,61 10 01 78,https://norrlyst.dk/gemini/,Open · Closes 4.00 pm · Reopens 5.00 pm,No,No,https://www.google.com/maps/place/Restaurant+Gemini/data=!4m2!3m1!1s0x465253d2dd8ed8a9:0x4633250a75aef71a,success
Godt,Brunch,Cafe,"Godthåbsvej 54, 2000 Frederiksberg",Frederiksberg,55.6873318,12.5303814,4.8,25,,60 20 00 19,,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Godt/data=!4m2!3m1!1s0x465253e1c2d58d83:0x35b434bd662a7238,success
Goldie,Brunch,Restaurant,"Griffenfeldsgade 22, 2200 København",Nørrebro,55.6883896,12.5545142,4.7,345,,53 88 20 58,https://www.elgoldie.dk/,,No,No,https://www.google.com/maps/place/Goldie/data=!4m2!3m1!1s0x465253c3f58332c9:0xfc9734394d2af25c,success
Gorda,Mexican,Restaurant,"Enghavevej 5, st, 1674 København",Vesterbro,55.6712103,12.5462163,4.7,499,,50 17 27 95,http://gorda.dk/,Closed · Opens 5.30 pm Tue,No,No,https://www.google.com/maps/place/Gorda/data=!4m2!3m1!1s0x46525347fbb9c939:0x965756790e10c452,success
Green Room/Scandic,Coffee; Wine,Bar; Hotel,"Falkoner Alle 9, 2000 København",Frederiksberg,55.6797384,12.5332089,4.1,103,,72 58 10 41,https://www.scandichotels.com/de/hotels/scandic-falkoner/green-room-restaurant?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=falkoner_greenroom,,No,No,https://www.google.com/maps/place/Green+Room+Restaurant+%26+Bar/data=!4m2!3m1!1s0x4652536213496dab:0x32512d9ccff2765a,success
H table,Asian,Restaurant,"Gyldenløvesgade 10, st.+kld, 1369 København",Indre By,55.680421,12.5629186,4.7,470,,60 59 88 00,http://www.htable.dk/,Temporarily closed,No,Yes,https://www.google.com/maps/place/H+table/data=!4m2!3m1!1s0x465253d989aa8331:0xa73732a62e00a592,success
HANS Coffee,Coffee,Cafe,"Boldhusgade 6, 1062 København",Indre By,55.6774217,12.5818373,4.6,"1,209",,30 86 49 22,https://www.instagram.com/hanscoffeecph,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/CUB+Coffee+Bar+Boldhusgade/data=!4m2!3m1!1s0x46525316fa3faa25:0xc19c249d461adf1a,success
Hanzo,Asian,Restaurant; Al Fresco,"Solbjergvej 8, 2000 Frederiksberg",Frederiksberg,55.6810436,12.5315474,4.2,231,,32 27 42 26,https://www.madklubben.dk/restauranter/koebenhavn/hanzo/frederiksberg,Closed · Opens 5.00 pm,No,No,https://www.google.com/maps/place/Hanzo+Frederiksberg/data=!4m2!3m1!1s0x465253ce336d5ced:0xc02190792c521c72,success
Hart,Fastelavnsbolle; Pastry,Cafe; Al Fresco,"Galionsvej 41, 1437 København",Holmen,55.6795537,12.6011156,4.6,"1,186",,,https://hartbageri.com/,Open · Closes 7.00 pm,No,No,https://www.google.com/maps/place/Hart/data=!4m2!3m1!1s0x465253cca348bb6d:0xff9ebb5f16eb4a8e,success
Hart,Fastelavnsbolle; Pastry,Cafe; Al Fresco,"Høkerboderne 17, 1712 København",Vesterbro,55.6683338,12.5579368,4.5,730,,31 11 18 50,https://hartbageri.com/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Hart/data=!4m2!3m1!1s0x465253d2e166eb75:0x2b7f981ec3b8ffc,success
HIAN,Asian,Restaurant,"Frederiksborggade 26, 1360 København",Indre By,55.6844152,12.5702114,4.2,418,,53 52 59 52,https://www.hian.dk/,Permanently closed,Yes,No,https://www.google.com/maps/place/HIAN+-+Vietnamese+Eatery+and+Drinks/data=!4m2!3m1!1s0x46525334e6364507:0xbaa7db9ebb76e59e,success
Homeland,Asian,Restaurant,"Nordre Fasanvej 158, st. th, 2000 Frederiksberg",Frederiksberg,55.6937951,12.5333654,4.6,194,,42 92 98 89,https://homelandkitchen.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,Open · Closes 10.00 pm,No,No,https://www.google.com/maps/place/Homeland+Brasserie+%26+Caf%C3%A9/data=!4m2!3m1!1s0x465253b45d08cfeb:0x272710a0ded70443,success
Hongs Special Dim Sum Bar,Asian,Restaurant,"Nordre Fasanvej 52, 2000 Frederiksberg",Frederiksberg,55.6843248,12.5251265,4.4,151,,53 52 88 68,https://www.hongsspecial.dk/,Open · Closes 10.00 pm,No,No,https://www.google.com/maps/place/Hongs+Special+Dim+Sum+Bar+%E5%93%81%E7%B2%A4%E5%B1%85+%E7%82%B9%E5%BF%83+%E5%93%A5%E6%9C%AC%E5%93%88%E6%A0%B9/data=!4m2!3m1!1s0x46525339d2548d7d:0x2b0c637fb48e6b8c,success
Høst,New Nordic,Restaurant,"Nørre Farimagsgade 41, 1364 København",Indre By,55.6833518,12.5661528,4.6,"4,507",,89 93 84 09,https://cofoco.dk/hoest/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=hoest,,No,No,https://www.google.com/maps/place/H%C3%B8st/data=!4m2!3m1!1s0x46525305ed0b0f45:0x9842c5cc03aa6e55,success
Impact Roasters,Coffee,Cafe,"Grøndals Parkvej 81, 2720 Frederiksberg",Vanløse,55.6856618,12.4987614,4.8,205,,20 83 94 75,http://impactroasters.dk/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Impact+Roasters/data=!4m2!3m1!1s0x4652534d1f3618c7:0xef5fd492abb95000,success
io いほ,Tea,Cafe; Shop,"Blågårdsgade 15, st, th, 2200 København",Nørrebro,55.6868352,12.5588316,4.9,90,,30 29 58 02,http://www.io-te.dk/,Closed · Opens 12.00 pm Tue,No,No,https://www.google.com/maps/place/io+%E3%81%84%E3%81%BB/data=!4m2!3m1!1s0x465253fc60a5685f:0xc23aa7bc1d18dd7,success
Ipsen & Co,Brunch,Cafe,"Gl. Kongevej 108, 1850 Frederiksberg",Frederiksberg,55.6760018,12.5438388,4.5,492,,,http://www.ipsenogco.dk/,Open · Closes 5.30 pm,No,No,https://www.google.com/maps/place/Ipsen+%26+Co/data=!4m2!3m1!1s0x465253a2297df8ab:0x5913001be8a22239,success
Ismageriet,Ice Cream,Cafe; Al Fresco,"Flæsketorvet 45, 1711 København",Vesterbro,55.6681397,12.5605473,4.7,"1,004",,60 60 10 40,https://ismageriet.dk/pages/isbutik-kodbyen?utm_source=googlebusinessprofile&utm_medium=organic,Open · Closes 10.00 pm,No,No,https://www.google.com/maps/place/Ismageriet/data=!4m2!3m1!1s0x465253bff8d7cdb5:0x22a64338cf4e1b96,success
Ismageriet,Ice Cream,Cafe,"Rued Langgaards Vej 6e, 2300 København",Amager,55.6603249,12.5916172,4.7,"3,508",,60 60 10 40,https://ismageriet.dk/pages/isbutik-amager?utm_source=googlebusinessprofile&utm_medium=organic,,No,No,https://www.google.com/maps/place/Ismageriet/data=!4m2!3m1!1s0x465254b1b823aab5:0xefd2f5dea6643952,success
Istid,Ice Cream,Take Away,"Jægersborggade 13, 2200 København",Nørrebro,55.691979,12.5447886,4.6,456,,61 31 18 34,http://www.istid.dk/,Open · Closes 9.00 pm,No,No,https://www.google.com/maps/place/Istid/data=!4m2!3m1!1s0x465253ad947c30f1:0xd1ef3229d55a79d5,success
Judie,Smørrebrod,Restaurant,"Nyhavn 26, 1051 København K",Indre By,55.6796758,12.5906338,4.5,172,,61 47 17 44,https://www.judienyhavn.dk/,Closed · Opens 11.30 am Tue,No,No,https://www.google.com/maps/place/Judie/data=!4m2!3m1!1s0x465253bf46c2d5bd:0x387f06f8005cd884,success
Juju,Asian,Restaurant,"Øster Farimagsgade 8, 2100 København",Østerbro,55.6898642,12.5750572,4.0,299,,28 74 93 40,http://jujucph.dk/,Open · Closes 8.30 pm,No,No,https://www.google.com/maps/place/Restaurant+Juju/data=!4m2!3m1!1s0x4652532d1ffda0c7:0x28c5e36476181f37,success
Juno,Fastelavnsbolle; Pastry,Bakery,"Århusgade 48, 2100 København",Østerbro,55.7061815,12.5818152,4.7,"4,332",,,https://www.junothebakery.com/,Closed · Opens 7.30 am Tue,No,No,https://www.google.com/maps/place/Juno+the+bakery/data=!4m2!3m1!1s0x465252f035a89c17:0x11c1cda65903316,success
