name;food_tags;mood_tags;address;neighborhood;latitude;longitude;rating;reviews_count;price_level;phone;website;hours;permanently_closed;temporarily_closed;maps url;status
Enghave Plads 9;"Wine; Beer";Bar;Enghave Pl. 9, 1670 København;Vesterbro;55.66687;12.5466159;4.1;64;;;http://www.instagram.com/enghaveplads9;Open · Closes 10.00 pm;No;No;https://www.google.com/maps/place/Enghave+Plads+9/data=!4m2!3m1!1s0x465253ed5f40027d:0xab8bd7d724876095;success
Enomania;"Wine; Italian";Restaurant;Vesterbrogade 187, 1800 Frederiksberg C;Frederiksberg;55.6706794;12.5317449;4.8;450;;33 23 60 80;http://www.enomania.dk/;Closed · Opens 5.30 pm Tue;No;No;https://www.google.com/maps/place/Enomania/data=!4m2!3m1!1s0x46525397686e0f63:0x4d15f0a1a5bde6b0;success
Fanico;Portuguese;Restaurant;Stubkaj 7F, 2150 København;;55.7096981;12.5944826;5.0;61;;21 80 00 18;;Closed · Opens 11.00 am Wed;No;No;https://www.google.com/maps/place/Fanico/data=!4m2!3m1!1s0x46525370e404f063:0xe09aa36807cc9dac;success
Fleisch;Steak;Restaurant;Slagterboderne 7, 1716 København V;Vesterbro;55.6689887;12.5588229;4.3;1,016;;61 68 14 19;https://fleisch.dk/?utm_source=google&utm_medium=organic&utm_campaign=gbp_fleisch;;No;No;https://www.google.com/maps/place/Fleisch/data=!4m2!3m1!1s0x465253739d0f18bf:0x41ae9faa65d7a9e3;success
Flere Fugle;"Fastelavnsbolle; Pastry";Cafe;Rentemestervej 57, 2400 København;Nordvest;55.7073855;12.524697;4.3;693;;93 63 42 01;http://www.flerefugle.dk/;;No;No;https://www.google.com/maps/place/Flere+Fugle/data=!4m2!3m1!1s0x465253d689f1f72f:0xed86676cfdfeb8ff;success
Frenchy;"French; Brunch";Cafe;Store Kongensgade 69B, 1264 København;Indre By;55.6849593;12.5881282;4.3;490;;31 45 64 46;http://www.frenchy.dk/;Closed · Opens 9.00 am Mon;No;No;https://www.google.com/maps/place/Frenchy/data=!4m2!3m1!1s0x4652533dc224304b:0x6ee762670ccda854;success
Fuego;Steak;Restaurant;Holbergsgade 14, 1057 København;Indre By;55.6781016;12.5890488;4.5;992;;33 13 11 71;http://www.fuego.dk/;Closed · Opens 5.30 pm Mon;No;No;https://www.google.com/maps/place/Fuego/data=!4m2!3m1!1s0x4652533d12c96351:0xbc49a3e00036e1a9;success
Gamma Bar;Beer;Bar;Hejrevej 6B, 2400 København;Nordvest;55.7011115;12.5340975;4.7;111;;88 73 08 87;https://shop.gammabrewing.com/pages/nv;;No;No;https://www.google.com/maps/place/Gamma+Bar+NV/data=!4m2!3m1!1s0x465253170c834455:0x6fc5cf281605b677;success
Gasoline Grill;Burgers;Al Fresco;Landgreven 10, 1301 København;Indre By;55.683242;12.5851505;4.5;6,219;;31 33 78 92;https://www.gasolinegrill.com/;Closed · Opens 11.00 am Mon;No;No;https://www.google.com/maps/place/Gasoline+Grill/data=!4m2!3m1!1s0x46525319a9ee66e1:0xb6850b6a3fa2148a;success
Goldie;Brunch;Restaurant;Griffenfeldsgade 22, 2200 København N;Nørrebro;55.6883896;12.5545142;4.7;304;;53 88 20 58;https://www.elgoldie.dk/;;No;No;https://www.google.com/maps/place/Goldie/data=!4m2!3m1!1s0x465253c3f58332c9:0xfc9734394d2af25c;success
